t,NEP,t,GPP,t,R
2007.3384,2.0514286,2007.3407,9.166667,2007.3419,7.24181
2007.3419,1.7942857,2007.3436,8.8,2007.3489,7.121685
2007.3466,1.3485714,2007.3447,8.5,2007.3575,7.276131
2007.3512,1.6571429,2007.3563,8.8,2007.3691,6.7098284
2007.3582,1.1085714,2007.3662,7.766667,2007.393,6.521061
2007.3628,0.8857143,2007.3715,8.933333,2007.408,5.4399376
2007.3708,1.3657143,2007.3726,10.1,2007.415,6.6068645
2007.3708,2.1714287,2007.3877,11.266666,2007.4231,7.0187206
2007.3761,3.5085714,2007.3964,10.266666,2007.429,6.795632
2007.3796,3.9885714,2007.3982,8.866667,2007.4393,6.3322935
2007.3889,4.5542855,2007.4075,8.55,2007.4526,6.932917
2007.3959,3.8,2007.4126,10.516666,2007.4574,8.460218
2007.3959,2.96,2007.4202,12.033334,2007.469,9.627145
2007.4056,2.96,2007.4231,12.516666,2007.4777,8.631825
2007.4115,3.7657142,2007.433,11.783334,2007.4834,7.8595943
2007.4178,5.0342855,2007.44,11.8,2007.491,8.786271
2007.422,5.3942857,2007.4498,13.083333,2007.5015,9.352574
2007.4294,5.0342855,2007.4648,14.7,2007.5165,8.683308
2007.4353,5.48,2007.4753,13.683333,2007.5206,8.477379
2007.4434,5.6171427,2007.4794,13.683333,2007.5304,9.541342
2007.4486,6.1485715,2007.4869,12.85,2007.5398,11.549142
2007.4602,5.274286,2007.4916,12.283334,2007.556,8.872075
2007.4695,5.0342855,2007.4998,12.516666,2007.5612,7.653666
2007.473,4.5885715,2007.5067,12.616667,2007.5704,7.99688
2007.477,5.2914286,2007.5061,13.6,2007.578,10.399376
2007.4863,5.0342855,2007.5206,14.133333,2007.5931,12.372855
2007.4916,3.7828572,2007.5264,13.816667,2007.6077,10.039001
2007.5015,2.9771428,2007.5345,13.95,2007.6105,9.129485
2007.5084,4.7085714,2007.5409,14.216666,2007.625,7.379095
2007.5142,5.48,2007.5449,12.1,2007.6407,5.1310453
2007.5206,5.6,2007.5496,11.65,2007.6604,3.4664586
2007.5276,4.622857,2007.5548,10.783334,2007.6761,3.9297972
2007.5356,3.1314285,2007.5624,9.25,2007.6871,4.067083
2007.5369,2.5485713,2007.563,11.333333,2007.7023,5.302652
2007.5409,2.0514286,2007.57,11.866667,2007.7092,5.302652
2007.5449,1.1771429,2007.5775,13.933333,2007.7208,6.6411858
2007.5461,2,2007.5873,13.65,2007.7272,7.825273
2007.5565,1.3828571,2007.5942,13.633333,2007.7428,7.9625583
2007.5618,3.44,2007.5955,12.516666,2007.7567,10.5538225
2007.5664,3.662857,2007.6053,12.516666,2007.7719,5.9375973
2007.5676,4.52,2007.6128,11.266666,2007.7847,7.6365056
2007.5751,3.9885714,2007.614,10.466666,2007.7887,8.082684
2007.5826,3.337143,2007.6227,10.466666,2007.7986,7.7566304
2007.5845,2.1885715,2007.6292,8.45,2007.8102,6.0405617
2007.5873,1.3485714,2007.6343,8.2,2007.8188,5.045242
2007.5972,1.0228572,2007.6407,7.6666665,2007.8304,4.8907957
2007.6053,2.2742858,2007.6517,8.75,2007.8403,3.7410297
2007.6105,2.5485713,2007.6587,8.133333,2007.8519,2.1965678
2007.614,1.8628571,2007.6686,7.4333334,2007.8629,2.7971919
2007.6199,2.3257143,2007.6755,7.266667,2007.8763,5.7145085
2007.6302,1.5542858,2007.6825,7.266667,2007.8873,7.9110765
2007.6332,2.4628572,2007.7023,7.883333,2007.9006,9.180967
2007.6395,2.4457142,2007.7167,7.516667,2007.9082,9.180967
2007.6523,4.897143,2007.7306,7.6666665,2007.9169,6.9843993
2007.6633,4.1257143,2007.7375,6.9333334,2007.9261,4.152886
2007.6732,3.5257144,2007.7451,5.9166665,2007.932,3.6037443
2007.6877,3.0114286,2007.7544,7.0833335,2007.9645,1.475819
2007.6947,2.6685715,2007.7649,6.4666667,2007.9761,2.848674
2007.7034,2.6685715,2007.7706,5.3166666,2007.986,4.7020283
2007.7162,1.7257143,2007.7765,4.65,2007.9993,3.5179408
