TLS_ID,stemlocx_[m]_x,stemlocy_[m]_x,Vol_QSM_avg_[m3]_x,BLEN (m),Hgt_pts_[m]_x,DBH_TLS_[m]_x,DBH_census_[m]_x,leaf_area,leaf_area_start
6,22.94376716,151.3610829,18.0116,4274.64821,24.3351842,1.005587178,0.97,1177.6,2355.2
9,70.78857806,129.4986581,12.0652,3489.826442,25.226797,0.722419269,0.785,961.4,1922.8
10,117.7606052,117.3877501,20.7605,4010.459988,28.6986338,0.93861709,0.983,1104.8,2209.7
12,30.88037421,145.6524972,16.4806,3780.540012,22.0029866,0.85671211,0.86,1041.5,2083.0
22,80.15992499,134.5382699,8.0527,1731.471448,22.013325,0.7718,0.829,477.0,954.0
29,49.67907226,106.9723482,14.3625,3912.672749,25.030025,0.813716309,0.809,1077.9,2155.8
31,56.71581069,162.1704217,7.6654,2267.410687,21.0921557,0.642861474,0.666,624.6,1249.3
36,67.17450963,120.7048121,17.1224,4025.992153,26.610309,0.75207723,0.814,1109.1,2218.2
43,35.39378334,161.109824,11.4944,3044.581832,21.5891555,0.709479275,0.725,838.7,1677.5
45,47.82930533,141.5206858,11.6657,3089.418522,23.3642818,0.815299442,0.866,851.1,1702.2
46,41.18711894,134.0818588,5.3886,1221.589766,19.2330006,0.630118819,0.661,336.5,673.1
56,2.973418488,198.5693662,11.6107,2862.300725,22.76008002,0.705221154,0.722,788.5,1577.1
60,41.81639421,170.7675945,5.1427,1782.613224,21.7405273,0.582121583,0.603,491.1,982.2
62,4.564763706,161.1386645,5.6848,2017.687437,20.9443054,0.616252717,0.654,555.8,1111.7
70,54.94450674,152.1781466,5.737,2056.523281,22.7475282,0.563182439,0.588,566.5,1133.1
73,37.68580904,151.5013763,6.0178,1112.474816,20.2585125,0.591712991,0.613,306.5,612.9
74,67.58913995,169.0402473,8.3388,3021.305748,22.9756017,0.670157699,0.724,832.3,1664.7
81,133.1296735,162.16162,13.7546,3215.708439,22.482936,0.94538192,0.912,885.9,1771.8
82,77.8091764,174.0477842,4.3595,2241.881563,21.2442562,0.50319065,0.53,617.6,1235.2
93,27.28097556,187.9606466,3.5866,627.7044745,16.7620213,0.660305868,0.666,172.9,345.8
95,64.42560822,103.4126278,7.6056,2232.703004,25.611153,0.578125166,0.616,615.1,1230.2
104,8.591122078,164.2762048,4.4877,1270.842974,20.8122193,0.578681342,0.61,350.1,700.2
118,63.51296472,175.0868666,2.9136,578.4423869,21.6166894,0.480871404,0.479,159.4,318.7
119,28.53036649,153.4523194,3.1947,714.6523692,19.0014061,0.560609223,0.514,196.9,393.8
130,13.13923897,175.8087076,5.0526,2895.720176,22.8419551,0.52794183,0.532,797.7,1595.5
134,54.39935299,159.3939801,4.9248,1496.076684,22.8425781,0.551169201,0.546,412.2,824.3
135,98.99281331,108.7555134,5.1126,922.8159962,22.5698378,0.518643786,0.54,254.2,508.4
137,71.0118013,126.6193954,5.9955,2769.761024,24.76195,0.543014317,0.566,763.0,1526.1
149,109.0629535,138.1278429,3.1619,1178.527786,25.507814,0.455926902,0.467,324.7,649.3
154,68.36792547,133.4793565,3.2004,938.3775673,22.360755,0.521253543,0.361,258.5,517.0
156,84.77575047,149.17353,3.7852,1320.479922,23.164042,0.456375326,0.47,363.8,727.6
158,8.096377209,100.8304884,2.2104,1229.117986,20.781519,0.381957417,0.401,338.6,677.2
162,23.68969589,187.2964898,3.0609,716.1061306,18.25462189,0.494740115,0.509,197.3,394.6
163,107.6128287,122.003867,6.7712,1212.191581,23.6708434,0.674271101,0.658,333.9,667.9
186,91.37468568,189.2506086,2.9855,1157.873652,20.7904814,0.45163376,0.478,319.0,638.0
195,138.2725575,133.3140165,18.2164,4165.091937,23.4766132,1.025798179,0.916,1147.4,2294.9
196,22.3831154,189.2296961,2.8827,629.1157687,17.4729193,0.570094047,0.54,173.3,346.6
202,70.11756988,111.394459,8.1783,1813.274004,23.646819,0.656191763,0.688,499.5,999.1
203,41.95113367,182.6190102,4.2286,1855.044747,21.7525592,0.491831585,0.503,511.0,1022.1
206,108.7163605,169.9803163,4.2703,2147.287545,21.8263158,0.514936376,0.487,591.6,1183.1
209,27.76984027,112.2759659,2.6247,1233.536861,23.692805,0.370655997,0.388,339.8,679.6
216,82.03275814,149.4949987,2.3809,1008.771374,19.6602227,0.385150105,0.384,277.9,555.8
221,63.62477814,182.8074212,5.924,1528.451645,23.808663,0.592554882,0.606,421.1,842.1
222,34.42857571,180.3579802,6.4911,2426.211838,21.0093579,0.553782266,0.604,668.4,1336.8
223,72.16540046,182.1584575,2.4386,1271.513914,21.9419216,0.400071494,0.401,350.3,700.6
225,106.1510041,175.2657273,2.65,46.04831943,10.8767772,0.656216755,0.668,12.7,25.4
226,122.5247995,135.4396389,3.0434,410.2808993,23.2543493,0.465201286,0.484,113.0,226.1
229,72.17360494,180.2398434,2.4198,1185.590328,21.8621367,0.404055199,0.417,326.6,653.2
236,39.74630447,171.8567046,2.9577,1375.91866,21.4405096,0.432721362,0.468,379.0,758.1
240,70.14685215,182.9622775,2.712,991.2397619,23.0430003,0.419373344,0.418,273.1,546.1
253,140.1500265,185.0193272,2.9441,597.3794789,15.88140419,0.535490458,0.523,164.6,329.1
254,39.2089884,121.0517125,4.8444,1312.535226,20.0925672,0.5588,0.544,361.6,723.2
260,26.52745897,182.630782,9.5065,3105.878518,19.6092641,0.733193057,0.763,855.6,1711.3
262,45.51362137,194.9778702,4.5728,1552.964367,23.6635412,0.536527206,0.546,427.8,855.6
267,68.65161947,197.4214257,1.9133,1055.985196,22.4682316,0.398225237,0.405,290.9,581.8
269,25.01985274,120.178577,2.62,984.5302526,21.670502,0.369400247,0.385,271.2,542.5
283,46.04241511,126.7019685,8.3523,2045.379522,20.5945846,0.825045506,0.496,563.5,1127.0
284,104.9444471,191.859555,3.1979,1617.849397,20.386654,0.429839015,0.44,445.7,891.4
286,53.60108035,118.2890895,1.65,622.5957153,20.1724272,0.379029828,0.401,171.5,343.0
291,91.37795011,161.4767308,2.0847,947.3236985,19.9257893,0.377420979,0.385,261.0,522.0
300,83.30041538,153.2951838,2.2661,820.7909915,21.8304734,0.42199925,0.429,226.1,452.2
301,125.2425852,177.0798569,3.2721,2109.155979,19.6063243,0.414951669,0.425,581.0,1162.1
317,17.69985666,134.677044,2.8065,1176.133257,21.50786,0.356501776,0.374,324.0,648.0
325,92.51470861,168.5687059,2.7178,1031.135976,16.2411883,0.474087889,0.462,284.1,568.1
332,18.91939345,168.1452029,1.9166,691.1480332,17.81063413,0.390679147,0.418,190.4,380.8
338,53.7249845,193.4274195,6.1716,2548.677142,21.8460355,0.550305284,0.56,702.1,1404.3
348,114.4813235,182.1542211,9.4867,2450.910945,18.9072561,0.674587838,0.708,675.2,1350.4
350,67.2894018,135.4105876,1.456,456.1750058,21.250594,0.330720857,0.34,125.7,251.3
353,50.75761995,141.5702449,2.6721,910.2203648,21.7507086,0.419586602,0.443,250.8,501.5
367,45.59968796,198.2072381,1.8306,638.6612062,21.1632217,0.375734942,0.382,175.9,351.9
371,83.69243051,156.171863,1.9723,696.5997102,17.6461403,0.389703255,0.4,191.9,383.8
380,106.9694816,133.5707906,1.7675,500.8801406,24.457413,0.373033318,0.36,138.0,276.0
386,92.13648156,137.814481,17.8499,4877.004929,25.103537,0.783672516,0.851,1343.6,2687.1
393,117.465499,191.1524817,4.4421,1031.583046,18.50886153,0.58378312,0.566,284.2,568.4
410,-0.165674868,105.1131627,2.6679,1711.982982,23.4797493,0.377244053,,471.6,943.3
413,28.93809271,113.7959688,1.9724,833.3953227,23.33506,0.362367692,0.367,229.6,459.2
419,105.4890352,129.6837983,1.7911,760.2731315,24.826259,0.314608385,0.325,209.4,418.9
424,122.7731425,137.2383205,1.4778,499.9402086,23.7710556,0.321268228,0.331,137.7,275.5
425,118.7306011,148.3417072,2.4453,227.4197484,19.9317515,0.492014096,0.497,62.7,125.3
434,137.416637,152.2269776,1.9055,356.1026113,20.5888099,0.422533088,0.399,98.1,196.2
439,124.1139936,151.3417837,1.89,745.9270233,23.880934,0.334388698,0.35,205.5,411.0
442,123.3725586,144.0464539,2.5131,650.2654817,23.7412714,0.370912036,0.395,179.1,358.3
446,87.47270276,111.0392802,65.5097,11980.23797,30.564069,1.273673471,1.412,3300.4,6600.8
450,124.5671307,158.3788385,1.936,841.1052673,22.209722,0.340878534,0.35,231.7,463.4
459,16.98964071,177.0050751,1.4528,789.6980988,21.1247283,0.30979513,0.32,217.6,435.1
460,1.547480781,127.4512638,1.8674,890.4119846,20.4694182,0.352572151,0.361,245.3,490.6
469,134.2169746,129.6290507,2.3995,1016.056543,22.9145609,0.317641008,0.327,279.9,559.8
472,76.84496658,195.4077738,1.2441,503.0069608,19.1264955,0.341124631,0.338,138.6,277.1
473,88.81301647,148.5325254,1.5137,504.7076214,21.348051,0.310554881,0.32,139.0,278.1
