"id","genus","species","scientificname"
1,"Abarema","jupunba","Abarema jupunba"
2,"Abarema","mataybifolia","Abarema mataybifolia"
68,"Albizia","julibrissin","Albizia julibrissin"
69,"Albizia","lebbeck","Albizia lebbeck"
102,"Andira","coriacea","Andira coriacea"
130,"Ardisia","glauciflora","Ardisia glauciflora"
147,"Aspidosperma","album","Aspidosperma album"
163,"Avicennia","germinans","Avicennia germinans"
169,"Bambusa","vulgaris","Bambusa vulgaris"
176,"Bellucia","grossularioides","Bellucia grossularioides"
201,"Bocoa","prouacensis","Bocoa prouacensis"
225,"Bucida","buceras","Bucida buceras"
229,"Byrsonima","lucida","Byrsonima lucida"
230,"Byrsonima","wadsworthii","Byrsonima wadsworthii"
250,"Caraipa","heterocarpa","Caraipa heterocarpa"
280,"Casearia","arborea","Casearia arborea"
281,"Casearia","sylvestris","Casearia sylvestris"
282,"Cassia","siamea","Senna siamea"
284,"Cassia","spruceana","Cassia spruceana"
285,"Cassine","xylocarpa","Cassine xylocarpa"
305,"Cecropia","peltata","Cecropia schreberiana"
356,"Clidemia","sericea","Clidemia sericea"
360,"Clusia","rosea","Clusia rosea"
361,"Coccoloba","microstachya","Coccoloba microstachya"
363,"Coffea","arabica","Coffea arabica"
367,"Colubrina","arborescens","Colubrina arborescens"
369,"Combretum","fruticosum","Combretum fruticosum"
372,"Conocarpus","erectus","Conocarpus erectus"
381,"Cordia","borinquensis","Cordia borinquensis"
406,"Croton","poecilanthus","Croton poecilanthus"
408,"Crudia","aromatica","Crudia aromatica"
444,"Dicorynia","guianensis","Dicorynia guianensis"
456,"Dipteryx","odorata","Dipteryx odorata"
492,"Eperua","leucantha","Eperua leucantha"
511,"Erithalis","fruticosa","Erithalis fruticosa"
522,"Eucalyptus","grandis","Eucalyptus grandis"
530,"Eugenia","eggersii","Eugenia eggersii"
532,"Eugenia","rhombea","Eugenia rhombea"
569,"Fraxinus","americana","Fraxinus americana"
575,"Fraxinus","pennsylvanica","Fraxinus pennsylvanica"
605,"Gliricidia","sepium","Gliricidia sepium"
615,"Goupia","glabra","Goupia glabra"
624,"Guettarda","scabra","Guettarda scabra"
673,"Ilex","macfadyenii","Ilex macfadyenii"
684,"Inga","alba","Inga alba"
685,"Inga","cayennensis","Inga cayennensis"
688,"Inga","densiflora","Inga densiflora"
689,"Inga","edulis","Inga edulis"
690,"Inga","fanchoniana","Inga fanchoniana"
691,"Inga","gracilifolia","Inga gracilifolia"
692,"Inga","huberi","Inga huberi"
693,"Inga","laurina","Inga laurina"
694,"Inga","leiocalycina","Inga leiocalycina"
695,"Inga","lomatophylla","Inga lomatophylla"
696,"Inga","paraensis","Inga paraensis"
697,"Inga","pezizifera","Inga pezizifera"
698,"Inga","rubiginosa","Inga rubiginosa"
699,"Inga","sarmentosa","Inga sarmentosa"
700,"Inga","splendens","Inga splendens"
701,"Inga","stipularis","Inga stipularis"
702,"Inga","thibaudiana","Inga thibaudiana"
703,"Inga","tubaeformis","Inga tubaeformis"
704,"Inga","vera","Inga vera"
746,"Laguncularia","racemosa","Laguncularia racemosa"
762,"Larrea","divaricata","Larrea divaricata"
782,"Licania","heteromorpha","Licania heteromorpha"
801,"Loreya","mespiloides","Loreya mespiloides"
820,"Magnolia","splendens","Magnolia splendens"
840,"Melaleuca","quinquenervia","Melaleuca quinquenervia"
855,"Miconia","dispar","Miconia dispar"
856,"Miconia","fragilis","Miconia fragilis"
857,"Miconia","prasina","Miconia prasina"
858,"Miconia","tetrandra","Miconia tetrandra"
859,"Miconia","tschudyoides","Miconia tschudyoides"
860,"Micrandra","sprucei","Micrandra sprucei"
862,"Micropholis","chrysophylloides","Micropholis guyanensis"
863,"Micropholis","maguirei","Micropholis maguirei"
879,"Myrcia","deflexa","Myrcia deflexa"
880,"Myrcia","splendens","Myrcia splendens"
890,"Neea","obovata","Neea obovata"
893,"Nerium","oleander","Nerium oleander"
913,"Ormosia","melanocarpa","Ormosia melanocarpa"
926,"Ouratea","littoralis","Ouratea littoralis"
934,"Palicourea","riparia","Palicourea croceoides"
939,"Paramachaerium","ormosioides","Paramachaerium ormosioides"
940,"Parinari","excelsa","Parinari excelsa"
986,"Pinus","caribaea","Pinus caribaea"
1041,"Plumeria","alba","Plumeria alba"
1054,"Pollalesta","discolor","Pollalesta discolor"
1101,"Prunus","persica","Prunus persica"
1106,"Pseudopiptadenia","suaveolens","Pseudopiptadenia suaveolens"
1109,"Psidium","guajava","Psidium guajava"
1190,"Retiniphyllum","truncatum","Retiniphyllum truncatum"
1196,"Rhizophora","mangle","Rhizophora mangle"
1300,"Shorea","robusta","Shorea robusta"
1309,"Sloanea","berteriana","Sloanea berteriana"
1348,"Swartzia","arborescens","Swartzia arborescens"
1349,"Swartzia","guianensis","Swartzia guianensis"
1350,"Swartzia","panacoco","Swartzia panacoco"
1351,"Swartzia","polyphylla","Swartzia polyphylla"
1361,"Syzygium","jambos","Syzygium jambos"
1363,"Tabebuia","haemantha","Tabebuia haemantha"
1364,"Tabebuia","heterophylla","Tabebuia heterophylla"
1365,"Tabebuia","rigida","Tabebuia rigida"
1367,"Tachigali","paniculata","Tachigali paniculata"
1375,"Tectona","grandis","Tectona grandis"
1378,"Ternstroemia","stahlii","Ternstroemia stahlii"
1380,"Tetragastris","balsamifera","Tetragastris balsamifera"
2148,"Andira","inermis","Andira inermis"
2465,"Capparis",NA,"Capparis cynophallophora"
2467,"Coccoloba",NA,"Coccoloba diversifolia"
2471,"Erythroxylum",NA,"Erythroxylum rotundifolium"
2472,"Eugenia",NA,"Eugenia monticola"
2474,"Guaiacum",NA,"Guaiacum officinale"
2475,"Guaiacum",NA,"Guaiacum sanctum"
2476,"Krugiodendron",NA,"Krugiodendron ferreum"
2541,"Ocotea",NA,"Ocotea spathulata"
2582,"Sabicea",NA,"Sabicea villosa"
2776,"Olea","europaea","Olea europaea"
2814,"Psychotria","limonensis","Psychotria limonensis"
