ipft,key,name,iallom,tropical,savannah,conifer,grass,liana,pathway,rho,SLA,hgt.ref,b1Ht,b2Ht,b1Bl,b2Bl,b1Bs.small,b2Bs.small,b1Bs.large,b2Bs.large,qroot,qsw,qbark,hgt.min,hgt.max,dbh.min,dbh.crit,bdead.crit
1,C4G,C4 grass,0,TRUE,FALSE,FALSE,TRUE,FALSE,4,0.2,22.7,NA,0.851956484407797,0.64,0.034605818762443,1.59425869701585,0.050183570466585,2.35979588078179,0.038872794055793,1.97013334092668,1,0.005820512820513,0,0.5,1.5,0.089436672273485,0.49775724757631,0.004836764295732
2,ETR,Early tropical,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.53,16.0179385221953,NA,0.851956484407797,0.64,0.059147223080564,1.57055692807539,0.12433788220747,2.34709850456368,0.583674052955799,1.97932359327329,1,0.00410716372364,0,0.5,35,0.089436672273485,68.3095334747777,1256.84531745335
3,MTR,Mid tropical,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.71,11.6448211976991,NA,0.851956484407797,0.64,0.069466388866976,1.56344590924477,0.163239085841639,2.34328903019013,0.76628632515236,1.97551411889974,1,0.002985851589154,0,0.5,35,0.089436672273485,68.3095334747777,1623.73110357794
4,LTR,Late tropical,0,TRUE,FALSE,FALSE,FALSE,FALSE,3,0.9,9.66341977026859,NA,0.851956484407797,0.64,0.079143638348777,1.55767879624443,0.203564670995361,2.34019950536853,0.955585011173194,1.97242459407813,1,0.002477799941095,0,0.5,35,0.089436672273485,68.3095334747777,1998.5945003419
5,TTG,Temperate C3 Grass,0,FALSE,FALSE,FALSE,TRUE,FALSE,3,0.08,22,0,0.4778,-0.75,0.08,1,1E-05,1,1E-05,1,1,0.005641025641026,0,0.15,0.45391,0.502384758109306,3.99430969807199,1.99715484903599E-05
6,NPN,North Pine,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,6,1.3,27.14,-0.03884,0.024,1.899,0.147,2.238,0.147,2.238,0.3463,0.001538461538462,0,1.5,27.11286,0.190434691671091,77.7029455069809,1250.50785443042
7,SPN,South Pine,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,9,1.3,27.14,-0.03884,0.024,1.899,0.147,2.238,0.147,2.238,0.3463,0.002307692307692,0,1.5,27.11286,0.190434691671091,77.7029455069809,1250.50785443042
8,LCN,Late conifer,0,FALSE,FALSE,TRUE,FALSE,FALSE,3,NA,10,1.3,22.79,-0.04445,0.0454,1.6829,0.1617,2.1536,0.1617,2.1536,0.3463,0.002564102564103,0,1.5,22.76721,0.198301749779099,64.0400157678846,628.136202033994
9,EHW,Early hardwood,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,30,1.3,22.6799,-0.06534,0.0129,1.7477,0.02648,2.95954,0.02648,2.95954,1.1274,0.007692307692308,0,1.5,22.6572201,0.13556004073669,43.4927940608198,935.081675241567
10,MHW,Mid hardwood,0,FALSE,FALSE,FALSE,FALSE,FALSE,3,NA,24.2,1.3,25.18,-0.04964,0.048,1.455,0.1617,2.4572,0.1617,2.4572,1.1274,0.006205128205128,0,1.5,25.15482,0.160647137767314,59.3171178353759,1839.66192824272
